"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","366","Testcase 5: Security: POST /api/register should handle SQL injection pattern in username without server error or sensitive leakage","Google Chrome","Fri May 15 06:11:37 UTC 2026","passed","Fri May 15 06:11:37 UTC 2026","Register User API - Positive, Negative, Contract and Security","api/Test_002_RegisterAndLoginUser.spec.ts","",""
"","89","Testcase 9: Negative: POST /api/login should reject missing username","Google Chrome","Fri May 15 06:11:39 UTC 2026","passed","Fri May 15 06:11:39 UTC 2026","Login API - Positive, Negative and Security","api/Test_002_RegisterAndLoginUser.spec.ts","",""
"","87","Testcase 11: Security: POST /api/login should handle script tag in username without server error or sensitive leakage","Google Chrome","Fri May 15 06:11:40 UTC 2026","passed","Fri May 15 06:11:40 UTC 2026","Login API - Positive, Negative and Security","api/Test_002_RegisterAndLoginUser.spec.ts","",""
"","477","Testcase 5: Security: POST /api/register should handle oversized username without server error or sensitive leakage","Google Chrome","Fri May 15 06:11:37 UTC 2026","passed","Fri May 15 06:11:38 UTC 2026","Register User API - Positive, Negative, Contract and Security","api/Test_002_RegisterAndLoginUser.spec.ts","",""
"","469","Testcase 2: GET /api/books?page=2&limit=8 - should return a paged book list with valid contract for page 2","Google Chrome","Fri May 15 06:11:34 UTC 2026","passed","Fri May 15 06:11:35 UTC 2026","Books API - List and Security","api/Test_001_BooksApi.spec.ts","",""
"","108","Testcase 3: Pagination: Standard page 2 (page=2, limit=5)","Google Chrome","Fri May 15 06:11:35 UTC 2026","passed","Fri May 15 06:11:35 UTC 2026","Books API - List and Security","api/Test_001_BooksApi.spec.ts","",""
"","558","Testcase 3: Negative: POST /api/register should reject duplicate usernames","Google Chrome","Fri May 15 06:11:36 UTC 2026","passed","Fri May 15 06:11:36 UTC 2026","Register User API - Positive, Negative, Contract and Security","api/Test_002_RegisterAndLoginUser.spec.ts","",""
"","91","Testcase 9: Negative: POST /api/login should reject missing password","Google Chrome","Fri May 15 06:11:39 UTC 2026","passed","Fri May 15 06:11:39 UTC 2026","Login API - Positive, Negative and Security","api/Test_002_RegisterAndLoginUser.spec.ts","",""
"","91","Testcase 6: Security: POST /api/register should reject unsupported content type","Google Chrome","Fri May 15 06:11:38 UTC 2026","passed","Fri May 15 06:11:38 UTC 2026","Register User API - Positive, Negative, Contract and Security","api/Test_002_RegisterAndLoginUser.spec.ts","",""
"","92","Testcase 12: Security: POST /api/login should reject unsupported content type","Google Chrome","Fri May 15 06:11:40 UTC 2026","passed","Fri May 15 06:11:40 UTC 2026","Login API - Positive, Negative and Security","api/Test_002_RegisterAndLoginUser.spec.ts","",""
"","4798","Testcase 1: Login With Existing User","Google Chrome","Fri May 15 06:11:45 UTC 2026","passed","Fri May 15 06:11:50 UTC 2026","Login With Existing User","ui/UserManagement/Test_002_LoginWithExistingUser.spec.ts","",""
"","396","Testcase 7: Positive and Contract: POST /api/login should login a registered user successfully","Google Chrome","Fri May 15 06:11:38 UTC 2026","passed","Fri May 15 06:11:38 UTC 2026","Login API - Positive, Negative and Security","api/Test_002_RegisterAndLoginUser.spec.ts","",""
"","96","Testcase 11: Security: POST /api/login should handle oversized username without server error or sensitive leakage","Google Chrome","Fri May 15 06:11:40 UTC 2026","passed","Fri May 15 06:11:40 UTC 2026","Login API - Positive, Negative and Security","api/Test_002_RegisterAndLoginUser.spec.ts","",""
"","93","Testcase 2: Negative: POST /api/register should reject empty password","Google Chrome","Fri May 15 06:11:36 UTC 2026","passed","Fri May 15 06:11:36 UTC 2026","Register User API - Positive, Negative, Contract and Security","api/Test_002_RegisterAndLoginUser.spec.ts","",""
"","94","Testcase 2: Negative: POST /api/register should reject empty username","Google Chrome","Fri May 15 06:11:36 UTC 2026","passed","Fri May 15 06:11:36 UTC 2026","Register User API - Positive, Negative, Contract and Security","api/Test_002_RegisterAndLoginUser.spec.ts","",""
"","160","Testcase 2: Negative: POST /api/register should reject missing username","Google Chrome","Fri May 15 06:11:35 UTC 2026","passed","Fri May 15 06:11:35 UTC 2026","Register User API - Positive, Negative, Contract and Security","api/Test_002_RegisterAndLoginUser.spec.ts","",""
"","83","Testcase 5: Negative: String instead of number","Google Chrome","Fri May 15 06:11:36 UTC 2026","passed","Fri May 15 06:11:36 UTC 2026","Books API - List and Security","api/Test_001_BooksApi.spec.ts","",""
"","4200","Testcase 1: Register New User","Google Chrome","Fri May 15 06:11:40 UTC 2026","passed","Fri May 15 06:11:44 UTC 2026","Register New User","ui/UserManagement/Test_001_RegisterUser.spec.ts","",""
"","165","Testcase 4: Data Integrity: Page 1 last item should not be Page 2 first item","Google Chrome","Fri May 15 06:11:35 UTC 2026","passed","Fri May 15 06:11:36 UTC 2026","Books API - List and Security","api/Test_001_BooksApi.spec.ts","",""
"","82","Testcase 5: Negative: Zero limit","Google Chrome","Fri May 15 06:11:36 UTC 2026","passed","Fri May 15 06:11:36 UTC 2026","Books API - List and Security","api/Test_001_BooksApi.spec.ts","",""
"","93","Testcase 9: Negative: POST /api/login should reject empty password","Google Chrome","Fri May 15 06:11:39 UTC 2026","passed","Fri May 15 06:11:40 UTC 2026","Login API - Positive, Negative and Security","api/Test_002_RegisterAndLoginUser.spec.ts","",""
"","159","Testcase 7: Defaults: Verify API works without query parameters","Google Chrome","Fri May 15 06:11:36 UTC 2026","passed","Fri May 15 06:11:36 UTC 2026","Books API - List and Security","api/Test_001_BooksApi.spec.ts","",""
"","90","Testcase 5: Negative: Negative page number","Google Chrome","Fri May 15 06:11:36 UTC 2026","passed","Fri May 15 06:11:36 UTC 2026","Books API - List and Security","api/Test_001_BooksApi.spec.ts","",""
"","393","Testcase 5: Security: POST /api/register should handle script tag in fullName without server error or sensitive leakage","Google Chrome","Fri May 15 06:11:37 UTC 2026","passed","Fri May 15 06:11:37 UTC 2026","Register User API - Positive, Negative, Contract and Security","api/Test_002_RegisterAndLoginUser.spec.ts","",""
"","221","Testcase 4: Negative: GET /api/register should not be allowed for user registration","Google Chrome","Fri May 15 06:11:36 UTC 2026","passed","Fri May 15 06:11:37 UTC 2026","Register User API - Positive, Negative, Contract and Security","api/Test_002_RegisterAndLoginUser.spec.ts","",""
"","8311","Testcase: Verify Books Count in pagination","Google Chrome","Fri May 15 06:11:36 UTC 2026","passed","Fri May 15 06:11:44 UTC 2026","Initial Catalog","ui/BookCatalog/Test_001_InitialCatalog.spec.ts","",""
"","135","Testcase 3: Pagination: Minimum limit (page=1, limit=1)","Google Chrome","Fri May 15 06:11:35 UTC 2026","passed","Fri May 15 06:11:35 UTC 2026","Books API - List and Security","api/Test_001_BooksApi.spec.ts","",""
