"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","39","Testcase 6: Security: Request without Content-Type header should be handled","Google Chrome","2026-07-17","passed","2026-07-17","Books API - List and Security","api/Test_001_BooksApi.spec.ts","",""
"","39","Testcase 12: Security: POST /api/login should reject unsupported content type","Google Chrome","2026-07-17","passed","2026-07-17","Login API - Positive, Negative and Security","api/Test_002_RegisterAndLoginUser.spec.ts","",""
"","44","Testcase 9: Negative: POST /api/login should reject missing password","Google Chrome","2026-07-17","passed","2026-07-17","Login API - Positive, Negative and Security","api/Test_002_RegisterAndLoginUser.spec.ts","",""
"","42","Testcase 5: Negative: Negative page number","Google Chrome","2026-07-17","passed","2026-07-17","Books API - List and Security","api/Test_001_BooksApi.spec.ts","",""
"","132511","Testcase 1: Complete checkout after cart persists across logout and login","Google Chrome","2026-07-17","failed","2026-07-17","Cart Persistence Checkout","ui/Checkout/Test_002_CartPersistenceCheckout.spec.ts","",""
"","41","Testcase 9: Negative: POST /api/login should reject empty password","Google Chrome","2026-07-17","passed","2026-07-17","Login API - Positive, Negative and Security","api/Test_002_RegisterAndLoginUser.spec.ts","",""
"","7382","Testcase: Verify Books Count in pagination","Google Chrome","2026-07-17","passed","2026-07-17","Initial Catalog","ui/BookCatalog/Test_001_InitialCatalog.spec.ts","",""
"","40","Testcase 11: Security: POST /api/login should handle script tag in username without server error or sensitive leakage","Google Chrome","2026-07-17","passed","2026-07-17","Login API - Positive, Negative and Security","api/Test_002_RegisterAndLoginUser.spec.ts","",""
"","57","Testcase 3: Pagination: Standard page 2 (page=2, limit=5)","Google Chrome","2026-07-17","passed","2026-07-17","Books API - List and Security","api/Test_001_BooksApi.spec.ts","",""
"","77","Testcase 9: Negative: POST /api/login should reject missing username","Google Chrome","2026-07-17","passed","2026-07-17","Login API - Positive, Negative and Security","api/Test_002_RegisterAndLoginUser.spec.ts","",""
"","514","Testcase 1: GET /api/books?page=1&limit=8 - should return a paged book list with valid contract for page 1","Google Chrome","2026-07-17","passed","2026-07-17","Books API - List and Security","api/Test_001_BooksApi.spec.ts","",""
"","42","Testcase 2: Negative: POST /api/register should reject empty username","Google Chrome","2026-07-17","passed","2026-07-17","Register User API - Positive, Negative, Contract and Security","api/Test_002_RegisterAndLoginUser.spec.ts","",""
"","114","Testcase 4: Data Integrity: Page 1 last item should not be Page 2 first item","Google Chrome","2026-07-17","passed","2026-07-17","Books API - List and Security","api/Test_001_BooksApi.spec.ts","",""
"","59","Testcase 7: Defaults: Verify API works without query parameters","Google Chrome","2026-07-17","passed","2026-07-17","Books API - List and Security","api/Test_001_BooksApi.spec.ts","",""
"","41","Testcase 9: Negative: POST /api/login should reject unregistered user","Google Chrome","2026-07-17","passed","2026-07-17","Login API - Positive, Negative and Security","api/Test_002_RegisterAndLoginUser.spec.ts","",""
"","58","Testcase 2: Negative: POST /api/register should reject empty password","Google Chrome","2026-07-17","passed","2026-07-17","Register User API - Positive, Negative, Contract and Security","api/Test_002_RegisterAndLoginUser.spec.ts","",""
"","40","Testcase 5: Negative: Zero limit","Google Chrome","2026-07-17","passed","2026-07-17","Books API - List and Security","api/Test_001_BooksApi.spec.ts","",""
"","398","Testcase 7: Positive and Contract: POST /api/login should login a registered user successfully","Google Chrome","2026-07-17","passed","2026-07-17","Login API - Positive, Negative and Security","api/Test_002_RegisterAndLoginUser.spec.ts","",""
"","61","Testcase 3: Pagination: Standard page 1 (page=1, limit=5)","Google Chrome","2026-07-17","passed","2026-07-17","Books API - List and Security","api/Test_001_BooksApi.spec.ts","",""
"","4682","Testcase 1: Register New User","Google Chrome","2026-07-17","passed","2026-07-17","Register New User","ui/UserManagement/Test_001_RegisterUser.spec.ts","",""
"","54","Testcase 11: Security: POST /api/login should handle oversized username without server error or sensitive leakage","Google Chrome","2026-07-17","passed","2026-07-17","Login API - Positive, Negative and Security","api/Test_002_RegisterAndLoginUser.spec.ts","",""
"","393","Testcase 8: Negative: POST /api/login should reject incorrect password","Google Chrome","2026-07-17","passed","2026-07-17","Login API - Positive, Negative and Security","api/Test_002_RegisterAndLoginUser.spec.ts","",""
"","54","Testcase 10: Negative: GET /api/login should not be allowed for login","Google Chrome","2026-07-17","passed","2026-07-17","Login API - Positive, Negative and Security","api/Test_002_RegisterAndLoginUser.spec.ts","",""
"","389","Testcase 5: Security: POST /api/register should handle oversized username without server error or sensitive leakage","Google Chrome","2026-07-17","passed","2026-07-17","Register User API - Positive, Negative, Contract and Security","api/Test_002_RegisterAndLoginUser.spec.ts","",""
"","61","Testcase 2: Negative: POST /api/register should reject missing username","Google Chrome","2026-07-17","passed","2026-07-17","Register User API - Positive, Negative, Contract and Security","api/Test_002_RegisterAndLoginUser.spec.ts","",""
"","42","Testcase 3: Pagination: Exceeding total pages (page=9999, limit=10)","Google Chrome","2026-07-17","passed","2026-07-17","Books API - List and Security","api/Test_001_BooksApi.spec.ts","",""
"","38","Testcase 4: Negative: GET /api/register should not be allowed for user registration","Google Chrome","2026-07-17","passed","2026-07-17","Register User API - Positive, Negative, Contract and Security","api/Test_002_RegisterAndLoginUser.spec.ts","",""
"","1144","Testcase 1: Positive and Contract: POST /api/register should register a user and allow login","Google Chrome","2026-07-17","passed","2026-07-17","Register User API - Positive, Negative, Contract and Security","api/Test_002_RegisterAndLoginUser.spec.ts","",""
"","4069","Testcase 2: Login Using Saved Session Storage","Google Chrome","2026-07-17","passed","2026-07-17","Login With Existing User","ui/UserManagement/Test_002_LoginWithExistingUser.spec.ts","",""
"","41","Testcase 11: Security: POST /api/login should handle SQL injection pattern in username without server error or sensitive leakage","Google Chrome","2026-07-17","passed","2026-07-17","Login API - Positive, Negative and Security","api/Test_002_RegisterAndLoginUser.spec.ts","",""
"","130488","Testcase 1: Complete book purchase successfully","Google Chrome","2026-07-17","failed","2026-07-17","Complete Book Purchase","ui/Checkout/Test_001_CompleteBookPurchase.spec.ts","",""
"","332","Testcase 2: GET /api/books?page=2&limit=8 - should return a paged book list with valid contract for page 2","Google Chrome","2026-07-17","passed","2026-07-17","Books API - List and Security","api/Test_001_BooksApi.spec.ts","",""
"","59","Testcase 3: Pagination: Minimum limit (page=1, limit=1)","Google Chrome","2026-07-17","passed","2026-07-17","Books API - List and Security","api/Test_001_BooksApi.spec.ts","",""
"","42","Testcase 9: Negative: POST /api/login should reject empty username","Google Chrome","2026-07-17","passed","2026-07-17","Login API - Positive, Negative and Security","api/Test_002_RegisterAndLoginUser.spec.ts","",""
"","46","Testcase 5: Negative: String instead of number","Google Chrome","2026-07-17","passed","2026-07-17","Books API - List and Security","api/Test_001_BooksApi.spec.ts","",""
"","307","Testcase 5: Security: POST /api/register should handle script tag in fullName without server error or sensitive leakage","Google Chrome","2026-07-17","passed","2026-07-17","Register User API - Positive, Negative, Contract and Security","api/Test_002_RegisterAndLoginUser.spec.ts","",""
"","4389","Testcase 1: Login With Existing User","Google Chrome","2026-07-17","passed","2026-07-17","Login With Existing User","ui/UserManagement/Test_002_LoginWithExistingUser.spec.ts","",""
"","59","Testcase 2: Negative: POST /api/register should reject missing password","Google Chrome","2026-07-17","passed","2026-07-17","Register User API - Positive, Negative, Contract and Security","api/Test_002_RegisterAndLoginUser.spec.ts","",""
