"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","Testcase 1: Register New User","Google Chrome","Thu May 14 17:49:59 UTC 2026","failed","Thu May 14 17:49:59 UTC 2026","Register New User","ui/UserManagement/Test_001_RegisterUser.spec.ts","",""
"","858","Testcase 1: Positive and Contract: POST /api/register should register a user and allow login","Google Chrome","Thu May 14 17:49:54 UTC 2026","passed","Thu May 14 17:49:55 UTC 2026","Register User API - Positive, Negative, Contract and Security","api/Test_002_RegisterAndLoginUser.spec.ts","",""
"","44","Testcase 6: Security: POST /api/register should reject unsupported content type","Google Chrome","Thu May 14 17:49:57 UTC 2026","passed","Thu May 14 17:49:57 UTC 2026","Register User API - Positive, Negative, Contract and Security","api/Test_002_RegisterAndLoginUser.spec.ts","",""
"","368","Testcase 5: Security: POST /api/register should handle script tag in fullName without server error or sensitive leakage","Google Chrome","Thu May 14 17:49:56 UTC 2026","passed","Thu May 14 17:49:56 UTC 2026","Register User API - Positive, Negative, Contract and Security","api/Test_002_RegisterAndLoginUser.spec.ts","",""
"","41","Testcase 9: Negative: POST /api/login should reject empty username","Google Chrome","Thu May 14 17:49:58 UTC 2026","passed","Thu May 14 17:49:58 UTC 2026","Login API - Positive, Negative and Security","api/Test_002_RegisterAndLoginUser.spec.ts","",""
"","41","Testcase 12: Security: POST /api/login should reject unsupported content type","Google Chrome","Thu May 14 17:49:58 UTC 2026","passed","Thu May 14 17:49:59 UTC 2026","Login API - Positive, Negative and Security","api/Test_002_RegisterAndLoginUser.spec.ts","",""
"","74","Testcase 2: Negative: POST /api/register should reject missing username","Google Chrome","Thu May 14 17:49:55 UTC 2026","passed","Thu May 14 17:49:55 UTC 2026","Register User API - Positive, Negative, Contract and Security","api/Test_002_RegisterAndLoginUser.spec.ts","",""
"","47","Testcase 2: Negative: POST /api/register should reject empty username","Google Chrome","Thu May 14 17:49:55 UTC 2026","passed","Thu May 14 17:49:55 UTC 2026","Register User API - Positive, Negative, Contract and Security","api/Test_002_RegisterAndLoginUser.spec.ts","",""
"","2","Testcase: Verify Books Count in pagination","Google Chrome","Thu May 14 17:49:56 UTC 2026","failed","Thu May 14 17:49:56 UTC 2026","Initial Catalog","ui/BookCatalog/Test_001_InitialCatalog.spec.ts","",""
"","43","Testcase 11: Security: POST /api/login should handle script tag in username without server error or sensitive leakage","Google Chrome","Thu May 14 17:49:58 UTC 2026","passed","Thu May 14 17:49:58 UTC 2026","Login API - Positive, Negative and Security","api/Test_002_RegisterAndLoginUser.spec.ts","",""
"","44","Testcase 3: Pagination: Standard page 1 (page=1, limit=5)","Google Chrome","Thu May 14 17:49:55 UTC 2026","passed","Thu May 14 17:49:55 UTC 2026","Books API - List and Security","api/Test_001_BooksApi.spec.ts","",""
"","44","Testcase 2: Negative: POST /api/register should reject empty password","Google Chrome","Thu May 14 17:49:55 UTC 2026","passed","Thu May 14 17:49:55 UTC 2026","Register User API - Positive, Negative, Contract and Security","api/Test_002_RegisterAndLoginUser.spec.ts","",""
"","41","Testcase 10: Negative: GET /api/login should not be allowed for login","Google Chrome","Thu May 14 17:49:58 UTC 2026","passed","Thu May 14 17:49:58 UTC 2026","Login API - Positive, Negative and Security","api/Test_002_RegisterAndLoginUser.spec.ts","",""
